CGPA,Projects,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,label,Practical Experiences,I+P,I+W,P+W,Aptitude*SoftSkills,Internships less than 2,Workshops/Certifications less than 2
7.5,1,65,4.4,0,0,61,79,0,3,2,2,2,286.0,1,1
7.3,2,82,4.8,1,0,79,80,0,5,3,3,4,393.59999999999997,1,0
7.5,1,85,4.4,1,1,81,80,1,4,2,3,3,374.00000000000006,1,0
7.0,2,71,4.2,1,0,55,66,0,4,2,2,4,298.2,1,0
7.7,1,76,4.0,0,0,62,65,0,3,2,2,2,304.0,1,1
6.5,1,84,3.9,0,1,75,71,0,2,2,1,1,327.59999999999997,1,1
7.8,3,79,4.4,1,1,85,86,1,6,4,3,5,347.6,1,0
8.3,3,90,4.8,1,1,82,88,1,7,5,4,5,432.0,0,0
7.9,3,90,4.8,1,1,71,87,1,6,4,3,5,432.0,1,0
7.7,1,74,4.6,0,1,63,73,0,3,2,2,2,340.4,1,1
7.4,2,78,4.4,0,0,63,66,0,3,2,1,3,343.20000000000005,1,1
8.6,3,84,4.8,1,1,62,78,1,3,3,0,3,403.2,1,1
8.2,3,90,4.7,1,1,84,86,1,7,5,4,5,423.0,0,0
6.8,3,73,4.4,1,1,72,82,1,5,5,2,3,321.20000000000005,0,1
7.4,2,70,4.4,0,1,58,63,0,3,3,1,2,308.0,1,1
7.4,2,72,3.5,0,1,82,69,1,4,3,2,3,252.0,1,1
7.7,1,77,3.4,0,1,55,72,1,1,1,0,1,261.8,1,1
7.4,3,78,4.3,1,1,76,82,0,7,5,4,5,335.4,0,0
8.3,1,81,4.5,1,1,64,65,0,3,2,2,2,364.5,1,1
7.5,2,84,4.4,0,0,66,73,0,4,3,2,3,369.6,1,1
8.4,3,90,4.6,1,1,55,80,1,7,5,4,5,413.99999999999994,0,0
7.4,2,76,4.7,0,1,66,69,0,4,3,2,3,357.2,1,1
6.9,1,70,3.9,0,1,79,68,1,1,1,0,1,273.0,1,1
8.3,2,89,4.8,1,1,75,81,1,5,3,3,4,427.2,1,0
8.2,2,77,4.2,0,1,72,72,1,5,3,3,4,323.40000000000003,1,0
8.5,3,90,4.7,1,1,79,86,1,8,5,5,6,423.0,0,0
8.3,3,85,4.8,1,1,77,83,1,7,5,4,5,408.0,0,0
8.6,3,88,4.7,1,1,80,87,1,7,5,4,5,413.6,0,0
6.7,1,73,4.5,0,0,55,66,1,4,2,3,3,328.5,1,0
6.9,1,76,4.4,0,0,55,65,0,3,2,2,2,334.40000000000003,1,1
7.0,1,62,4.3,0,1,59,67,0,2,2,1,1,266.59999999999997,1,1
8.1,3,90,4.6,1,1,77,87,1,6,4,3,5,413.99999999999994,1,0
7.7,2,74,3.8,1,0,55,66,0,3,3,1,2,281.2,1,1
6.5,2,77,4.8,0,1,56,65,0,3,2,1,3,369.59999999999997,1,1
8.2,3,65,4.1,1,0,66,65,0,4,4,1,3,266.5,1,1
6.5,2,72,4.5,0,0,57,69,0,3,2,1,3,324.0,1,1
8.8,3,90,4.8,1,1,86,88,1,7,5,4,5,432.0,0,0
8.0,1,74,4.5,1,1,55,65,0,2,2,1,1,333.0,1,1
8.0,1,86,4.2,0,0,55,83,0,2,2,1,1,361.2,1,1
6.6,1,76,3.9,0,1,78,69,1,1,1,0,1,296.4,1,1
7.2,2,74,4.1,0,0,70,65,0,3,3,1,2,303.4,1,1
6.6,2,72,4.1,0,0,55,75,0,4,3,2,3,295.2,1,1
7.6,2,77,4.6,1,0,84,67,0,3,3,1,2,354.2,1,1
8.0,3,68,4.2,1,0,64,83,1,3,3,0,3,285.6,1,1
7.2,1,82,4.6,1,1,57,64,0,2,2,1,1,377.2,1,1
7.7,1,74,4.1,0,1,57,68,1,2,2,1,1,303.4,1,1
8.4,1,67,3.8,1,1,76,69,0,4,2,3,3,254.6,1,0
7.5,1,69,4.3,0,1,71,76,0,3,2,2,2,296.7,1,1
6.7,2,79,4.1,0,0,78,67,0,3,2,1,3,323.9,1,1
8.1,3,90,4.8,1,1,80,86,1,7,5,4,5,432.0,0,0
7.5,2,73,4.4,0,0,66,84,0,3,3,1,2,321.20000000000005,1,1
7.4,1,75,4.2,0,1,65,84,0,3,3,2,1,315.0,0,1
6.5,1,63,4.5,0,1,57,68,0,2,2,1,1,283.5,1,1
8.1,3,90,4.6,1,1,73,86,1,5,4,2,4,413.99999999999994,1,1
6.9,1,83,3.5,0,1,61,71,0,2,2,1,1,290.5,1,1
6.6,1,69,3.6,0,1,55,72,0,3,2,2,2,248.4,1,1
6.7,2,74,4.8,1,1,72,64,1,4,3,2,3,355.2,1,1
8.2,3,76,4.5,1,1,73,82,0,7,5,4,5,342.0,0,0
7.6,2,86,4.8,1,1,57,72,1,2,2,0,2,412.8,1,1
6.7,3,87,4.6,1,0,81,69,0,4,4,1,3,400.2,1,1
8.1,2,84,3.8,0,0,71,68,0,3,2,1,3,319.2,1,1
7.1,1,70,3.3,0,0,55,66,0,2,2,1,1,231.0,1,1
8.1,3,89,4.6,1,1,86,80,1,6,4,3,5,409.4,1,0
7.7,2,85,4.8,1,1,74,83,0,6,4,4,4,408.0,0,0
7.5,1,64,4.0,0,0,73,66,0,2,2,1,1,256.0,1,1
7.8,2,90,4.8,1,0,81,82,1,6,4,4,4,432.0,0,0
7.4,2,63,3.9,0,0,55,67,0,4,3,2,3,245.7,1,1
7.3,1,80,4.7,0,1,64,65,0,2,2,1,1,376.0,1,1
8.5,3,90,4.8,1,1,72,87,1,7,5,4,5,432.0,0,0
6.5,1,82,4.4,0,0,65,69,0,1,1,0,1,360.8,1,1
8.1,3,90,4.8,1,1,79,84,1,6,4,3,5,432.0,1,0
8.0,1,84,4.0,0,1,57,61,0,5,2,4,4,336.0,1,0
7.3,3,81,4.2,1,1,69,65,0,5,4,2,4,340.2,1,1
7.4,1,81,4.1,1,0,55,62,0,3,2,2,2,332.09999999999997,1,1
6.7,1,76,4.8,1,0,55,78,0,5,3,4,3,364.8,0,0
7.6,1,67,3.5,0,0,55,67,0,3,2,2,2,234.5,1,1
8.8,3,90,4.6,1,1,83,83,1,6,4,3,5,413.99999999999994,1,0
6.5,2,65,4.4,0,1,61,68,0,3,3,1,2,286.0,1,1
7.4,2,75,4.2,0,1,55,74,0,4,3,2,3,315.0,1,1
8.7,3,81,4.7,1,1,85,79,1,7,5,4,5,380.7,0,0
8.0,1,68,4.2,0,1,59,66,0,3,2,2,2,285.6,1,1
7.7,2,73,4.0,0,1,65,75,1,3,3,1,2,292.0,1,1
7.5,1,68,4.7,0,0,58,64,0,3,2,2,2,319.6,1,1
7.4,1,79,4.3,0,0,63,73,0,1,1,0,1,339.7,1,1
8.5,2,90,4.8,1,1,80,86,1,5,3,3,4,432.0,1,0
6.5,1,72,3.8,0,0,64,67,0,3,2,2,2,273.59999999999997,1,1
8.4,1,81,4.6,1,0,78,82,1,2,2,1,1,372.59999999999997,1,1
8.7,3,88,4.8,0,0,87,84,0,5,3,2,5,422.4,1,0
8.0,1,60,4.0,0,0,57,70,0,1,1,0,1,240.0,1,1
8.4,3,88,4.6,1,1,74,82,0,6,5,3,4,404.79999999999995,0,1
8.1,2,90,4.5,1,1,73,82,1,6,4,4,4,405.0,0,0
7.9,3,75,3.7,0,1,62,65,0,5,4,2,4,277.5,1,1
6.5,1,72,4.5,0,0,66,70,0,3,2,2,2,324.0,1,1
7.6,1,73,4.3,0,1,55,76,1,2,2,1,1,313.9,1,1
7.8,3,77,4.8,1,1,79,87,0,5,5,2,3,369.59999999999997,0,1
7.9,1,62,4.6,1,1,87,82,0,3,2,2,2,285.2,1,1
7.9,1,83,4.0,1,1,63,70,0,3,3,2,1,332.0,0,1
8.4,3,90,4.8,1,1,90,85,1,7,5,4,5,432.0,0,0
8.6,3,90,4.8,1,1,73,78,1,5,3,2,5,432.0,1,0
7.8,1,81,3.9,1,1,79,65,1,1,1,0,1,315.9,1,1
7.2,3,75,4.2,1,1,64,84,0,5,4,2,4,315.0,1,1
8.4,3,90,4.5,1,1,79,86,1,6,4,3,5,405.0,1,0
8.0,3,87,4.6,1,1,72,83,0,5,4,2,4,400.2,1,1
7.8,1,72,4.0,0,0,61,69,0,2,1,1,2,288.0,1,1
6.5,1,63,3.5,0,0,56,64,0,2,2,1,1,220.5,1,1
7.9,2,81,4.0,1,1,60,71,0,4,3,2,3,324.0,1,1
6.7,1,75,4.2,0,0,56,64,0,2,2,1,1,315.0,1,1
6.9,1,73,4.1,0,1,55,69,1,1,1,0,1,299.29999999999995,1,1
6.5,1,79,3.9,0,0,55,66,0,2,1,1,2,308.09999999999997,1,1
7.3,1,71,3.6,0,0,65,64,0,3,2,2,2,255.6,1,1
7.5,1,74,3.9,0,0,63,65,0,3,2,2,2,288.59999999999997,1,1
8.0,3,76,4.1,1,1,78,61,0,8,5,5,6,311.59999999999997,0,0
6.6,3,87,4.5,0,0,80,82,0,3,3,0,3,391.5,1,1
6.7,2,73,4.5,0,1,55,65,0,3,3,1,2,328.5,1,1
8.3,2,78,3.8,1,0,67,65,0,6,3,4,5,296.4,1,0
8.5,3,90,4.8,1,1,61,86,1,6,4,3,5,432.0,1,0
7.4,1,60,3.4,0,0,58,62,0,2,2,1,1,204.0,1,1
8.4,1,88,4.8,1,1,74,82,1,3,1,2,3,422.4,1,0
8.2,3,82,4.8,1,1,70,73,1,4,4,1,3,393.59999999999997,1,1
7.7,1,71,4.7,0,1,57,69,0,2,2,1,1,333.7,1,1
7.3,2,67,4.5,0,0,63,66,0,5,3,3,4,301.5,1,0
6.5,1,78,3.7,1,1,75,69,0,1,1,0,1,288.6,1,1
6.5,1,68,4.1,0,0,55,65,0,3,2,2,2,278.79999999999995,1,1
6.8,1,78,4.3,0,0,61,62,0,2,2,1,1,335.4,1,1
7.8,2,80,4.6,0,1,59,74,1,6,4,4,4,368.0,0,0
7.5,2,77,4.2,1,1,58,63,0,3,3,1,2,323.40000000000003,1,1
6.5,1,75,3.7,0,0,58,62,0,1,1,0,1,277.5,1,1
8.1,1,71,3.6,1,0,69,67,0,1,1,0,1,255.6,1,1
8.5,3,86,4.2,1,1,60,85,1,5,5,2,3,361.2,0,1
8.6,3,90,4.7,1,1,68,84,1,6,4,3,5,423.0,1,0
7.9,3,76,4.6,1,1,79,82,1,7,5,4,5,349.59999999999997,0,0
6.5,2,75,4.5,1,0,65,59,0,4,2,2,4,337.5,1,0
8.2,2,82,4.5,1,1,78,87,1,3,2,1,3,369.0,1,1
7.6,1,64,4.1,0,0,69,67,0,2,2,1,1,262.4,1,1
7.3,2,84,4.6,0,1,55,72,0,4,3,2,3,386.4,1,1
8.4,3,90,4.5,1,1,85,79,1,7,5,4,5,405.0,0,0
8.3,3,90,4.5,1,1,70,88,1,8,5,5,6,405.0,0,0
8.3,2,82,4.7,1,1,77,84,0,4,3,2,3,385.40000000000003,1,1
8.6,3,78,4.8,1,1,82,81,0,7,5,4,5,374.4,0,0
7.4,1,70,4.2,0,0,61,70,0,2,1,1,2,294.0,1,1
6.9,2,74,4.1,0,0,55,69,0,4,3,2,3,303.4,1,1
6.6,1,77,4.5,0,0,62,70,0,2,2,1,1,346.5,1,1
6.6,2,76,4.1,1,1,82,69,0,4,3,2,3,311.59999999999997,1,1
8.0,3,86,4.8,1,1,62,83,1,7,5,4,5,412.8,0,0
7.5,2,86,3.8,0,0,55,68,0,3,3,1,2,326.8,1,1
7.9,3,90,4.8,1,0,81,78,0,7,5,4,5,432.0,0,0
8.3,3,78,3.9,1,1,60,61,1,6,4,3,5,304.2,1,0
7.4,1,74,3.5,0,1,67,62,0,2,2,1,1,259.0,1,1
8.7,3,87,4.7,1,1,80,84,1,7,5,4,5,408.90000000000003,0,0
7.4,2,77,4.5,0,1,66,86,0,3,3,1,2,346.5,1,1
7.5,1,70,4.6,0,0,59,66,0,3,2,2,2,322.0,1,1
7.4,1,87,4.5,1,1,68,84,0,4,3,3,2,391.5,0,1
7.7,1,69,4.8,1,1,78,65,0,2,1,1,2,331.2,1,1
7.8,1,70,3.8,0,1,73,73,0,2,1,1,2,266.0,1,1
8.2,3,69,4.0,1,1,77,82,0,6,5,3,4,276.0,0,1
7.6,1,72,4.6,1,1,68,84,0,2,2,1,1,331.2,1,1
8.5,3,90,4.8,1,1,80,79,1,7,5,4,5,432.0,0,0
6.7,1,71,4.7,0,1,76,70,0,2,1,1,2,333.7,1,1
7.6,3,82,4.5,0,1,56,72,0,4,4,1,3,369.0,1,1
7.6,2,80,3.7,1,0,85,61,0,2,2,0,2,296.0,1,1
7.4,2,77,3.8,0,1,59,63,0,3,3,1,2,292.59999999999997,1,1
6.5,1,70,4.7,0,1,79,64,0,2,2,1,1,329.0,1,1
6.5,1,68,4.3,0,1,55,70,0,2,2,1,1,292.4,1,1
8.1,2,80,4.4,1,0,82,85,1,4,2,2,4,352.0,1,0
8.5,3,75,4.5,1,1,75,84,0,6,4,3,5,337.5,1,0
8.1,3,90,4.8,1,1,86,88,1,7,5,4,5,432.0,0,0
8.7,1,66,4.8,1,0,70,59,0,3,3,2,1,316.8,0,1
6.6,1,72,4.2,0,1,86,88,1,3,1,2,3,302.40000000000003,1,0
6.8,2,80,4.6,0,1,61,69,0,6,4,4,4,368.0,0,0
8.0,2,76,4.5,0,1,68,75,0,4,3,2,3,342.0,1,1
7.8,1,79,3.7,0,1,56,59,0,3,2,2,2,292.3,1,1
7.7,2,81,3.8,1,1,65,59,0,3,3,1,2,307.8,1,1
6.8,1,73,3.7,0,1,55,65,0,2,2,1,1,270.1,1,1
7.3,2,71,4.7,0,0,59,57,0,4,3,2,3,333.7,1,1
6.5,2,79,4.5,1,1,83,87,1,6,4,4,4,355.5,0,0
7.3,2,79,3.8,0,1,58,73,0,4,3,2,3,300.2,1,1
8.3,3,90,4.8,1,0,55,80,1,6,5,3,4,432.0,0,1
8.2,2,79,3.8,1,1,55,70,0,4,3,2,3,300.2,1,1
8.2,1,86,4.4,0,0,76,82,0,4,2,3,3,378.40000000000003,1,0
8.5,2,81,3.2,0,1,55,63,0,2,2,0,2,259.2,1,1
8.0,1,87,3.8,0,1,55,71,0,2,1,1,2,330.59999999999997,1,1
7.7,1,82,4.4,0,0,55,70,0,4,2,3,3,360.8,1,0
7.6,3,75,4.3,1,1,82,87,1,6,3,3,6,322.5,1,0
6.7,3,77,4.1,1,1,69,67,0,4,4,1,3,315.7,1,1
8.5,2,75,4.5,1,0,76,83,1,4,2,2,4,337.5,1,0
8.8,2,90,4.8,1,0,75,88,1,5,3,3,4,432.0,1,0
7.5,1,80,4.2,1,0,84,64,0,2,1,1,2,336.0,1,1
7.7,1,79,4.8,0,1,58,71,0,1,1,0,1,379.2,1,1
7.5,2,69,3.6,0,0,61,59,0,2,2,0,2,248.4,1,1
6.8,1,68,4.3,0,1,65,69,0,2,2,1,1,292.4,1,1
8.1,3,90,4.8,1,1,69,84,0,5,3,2,5,432.0,1,0
8.4,3,82,4.5,1,0,82,85,1,8,5,5,6,369.0,0,0
7.5,1,67,3.4,0,0,65,71,0,2,2,1,1,227.79999999999998,1,1
8.1,3,70,4.8,1,0,71,72,0,4,4,1,3,336.0,1,1
8.4,3,80,4.6,1,1,72,79,1,7,5,4,5,368.0,0,0
8.0,2,80,4.3,0,1,71,61,0,4,3,2,3,344.0,1,1
7.9,3,90,4.8,1,1,68,83,1,5,3,2,5,432.0,1,0
6.8,1,77,3.3,0,0,64,69,0,1,1,0,1,254.1,1,1
8.3,3,82,4.6,1,1,76,85,1,7,5,4,5,377.2,0,0
7.4,2,75,4.3,0,1,55,85,0,4,3,2,3,322.5,1,1
7.6,1,66,4.1,0,1,62,73,0,2,2,1,1,270.59999999999997,1,1
8.2,3,90,4.6,1,1,77,88,1,7,5,4,5,413.99999999999994,0,0
8.2,3,90,4.3,0,1,77,82,1,6,4,3,5,387.0,1,0
6.5,1,79,3.6,0,1,55,64,0,2,2,1,1,284.40000000000003,1,1
7.5,1,82,4.5,1,1,77,84,1,4,2,3,3,369.0,1,0
7.5,2,85,4.1,0,1,71,84,0,4,3,2,3,348.49999999999994,1,1
7.6,1,88,4.5,1,1,83,86,1,3,2,2,2,396.0,1,1
7.5,1,81,4.5,1,1,64,68,0,3,2,2,2,364.5,1,1
7.5,2,66,4.5,0,1,61,71,1,3,2,1,3,297.0,1,1
7.9,1,71,4.8,0,1,56,66,0,3,3,2,1,340.8,0,1
7.2,2,69,4.0,0,1,55,61,0,3,3,1,2,276.0,1,1
8.6,3,90,4.8,1,1,75,84,1,7,5,4,5,432.0,0,0
6.5,1,78,3.9,0,1,67,73,1,3,2,2,2,304.2,1,1
8.7,3,86,4.5,1,1,77,81,1,4,4,1,3,387.0,1,1
7.8,2,78,4.8,1,1,75,65,1,3,3,1,2,374.4,1,1
8.5,2,71,3.8,1,1,78,69,0,4,3,2,3,269.8,1,1
