StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,label
1,7.5,1,1,1,65,4.4,No,No,61,79,0
2,7.3,1,2,2,82,4.8,Yes,No,79,80,0
3,7.5,1,1,2,85,4.4,Yes,Yes,81,80,1
4,7,0,2,2,71,4.2,Yes,No,55,66,0
5,7.7,1,1,1,76,4,No,No,62,65,0
6,6.5,1,1,0,84,3.9,No,Yes,75,71,0
7,7.8,1,3,2,79,4.4,Yes,Yes,85,86,1
8,8.3,2,3,2,90,4.8,Yes,Yes,82,88,1
9,7.9,1,3,2,90,4.8,Yes,Yes,71,87,1
10,7.7,1,1,1,74,4.6,No,Yes,63,73,0
11,7.4,0,2,1,78,4.4,No,No,63,66,0
12,8.6,0,3,0,84,4.8,Yes,Yes,62,78,1
13,8.2,2,3,2,90,4.7,Yes,Yes,84,86,1
14,6.8,2,3,0,73,4.4,Yes,Yes,72,82,1
15,7.4,1,2,0,70,4.4,No,Yes,58,63,0
16,7.4,1,2,1,72,3.5,No,Yes,82,69,1
17,7.7,0,1,0,77,3.4,No,Yes,55,72,1
18,7.4,2,3,2,78,4.3,Yes,Yes,76,82,0
19,8.3,1,1,1,81,4.5,Yes,Yes,64,65,0
20,7.5,1,2,1,84,4.4,No,No,66,73,0
21,8.4,2,3,2,90,4.6,Yes,Yes,55,80,1
22,7.4,1,2,1,76,4.7,No,Yes,66,69,0
23,6.9,0,1,0,70,3.9,No,Yes,79,68,1
24,8.3,1,2,2,89,4.8,Yes,Yes,75,81,1
25,8.2,1,2,2,77,4.2,No,Yes,72,72,1
26,8.5,2,3,3,90,4.7,Yes,Yes,79,86,1
27,8.3,2,3,2,85,4.8,Yes,Yes,77,83,1
28,8.6,2,3,2,88,4.7,Yes,Yes,80,87,1
29,6.7,1,1,2,73,4.5,No,No,55,66,1
30,6.9,1,1,1,76,4.4,No,No,55,65,0
31,7,1,1,0,62,4.3,No,Yes,59,67,0
32,8.1,1,3,2,90,4.6,Yes,Yes,77,87,1
33,7.7,1,2,0,74,3.8,Yes,No,55,66,0
34,6.5,0,2,1,77,4.8,No,Yes,56,65,0
35,8.2,1,3,0,65,4.1,Yes,No,66,65,0
36,6.5,0,2,1,72,4.5,No,No,57,69,0
37,8.8,2,3,2,90,4.8,Yes,Yes,86,88,1
38,8,1,1,0,74,4.5,Yes,Yes,55,65,0
39,8,1,1,0,86,4.2,No,No,55,83,0
40,6.6,0,1,0,76,3.9,No,Yes,78,69,1
41,7.2,1,2,0,74,4.1,No,No,70,65,0
42,6.6,1,2,1,72,4.1,No,No,55,75,0
43,7.6,1,2,0,77,4.6,Yes,No,84,67,0
44,8,0,3,0,68,4.2,Yes,No,64,83,1
45,7.2,1,1,0,82,4.6,Yes,Yes,57,64,0
46,7.7,1,1,0,74,4.1,No,Yes,57,68,1
47,8.4,1,1,2,67,3.8,Yes,Yes,76,69,0
48,7.5,1,1,1,69,4.3,No,Yes,71,76,0
49,6.7,0,2,1,79,4.1,No,No,78,67,0
50,8.1,2,3,2,90,4.8,Yes,Yes,80,86,1
51,7.5,1,2,0,73,4.4,No,No,66,84,0
52,7.4,2,1,0,75,4.2,No,Yes,65,84,0
53,6.5,1,1,0,63,4.5,No,Yes,57,68,0
54,8.1,1,3,1,90,4.6,Yes,Yes,73,86,1
55,6.9,1,1,0,83,3.5,No,Yes,61,71,0
56,6.6,1,1,1,69,3.6,No,Yes,55,72,0
57,6.7,1,2,1,74,4.8,Yes,Yes,72,64,1
58,8.2,2,3,2,76,4.5,Yes,Yes,73,82,0
59,7.6,0,2,0,86,4.8,Yes,Yes,57,72,1
60,6.7,1,3,0,87,4.6,Yes,No,81,69,0
61,8.1,0,2,1,84,3.8,No,No,71,68,0
62,7.1,1,1,0,70,3.3,No,No,55,66,0
63,8.1,1,3,2,89,4.6,Yes,Yes,86,80,1
64,7.7,2,2,2,85,4.8,Yes,Yes,74,83,0
65,7.5,1,1,0,64,4,No,No,73,66,0
66,7.8,2,2,2,90,4.8,Yes,No,81,82,1
67,7.4,1,2,1,63,3.9,No,No,55,67,0
68,7.3,1,1,0,80,4.7,No,Yes,64,65,0
69,8.5,2,3,2,90,4.8,Yes,Yes,72,87,1
70,6.5,0,1,0,82,4.4,No,No,65,69,0
71,8.1,1,3,2,90,4.8,Yes,Yes,79,84,1
72,8,1,1,3,84,4,No,Yes,57,61,0
73,7.3,1,3,1,81,4.2,Yes,Yes,69,65,0
74,7.4,1,1,1,81,4.1,Yes,No,55,62,0
75,6.7,2,1,2,76,4.8,Yes,No,55,78,0
76,7.6,1,1,1,67,3.5,No,No,55,67,0
77,8.8,1,3,2,90,4.6,Yes,Yes,83,83,1
78,6.5,1,2,0,65,4.4,No,Yes,61,68,0
79,7.4,1,2,1,75,4.2,No,Yes,55,74,0
80,8.7,2,3,2,81,4.7,Yes,Yes,85,79,1
81,8,1,1,1,68,4.2,No,Yes,59,66,0
82,7.7,1,2,0,73,4,No,Yes,65,75,1
83,7.5,1,1,1,68,4.7,No,No,58,64,0
84,7.4,0,1,0,79,4.3,No,No,63,73,0
85,8.5,1,2,2,90,4.8,Yes,Yes,80,86,1
86,6.5,1,1,1,72,3.8,No,No,64,67,0
87,8.4,1,1,0,81,4.6,Yes,No,78,82,1
88,8.7,0,3,2,88,4.8,No,No,87,84,0
89,8,0,1,0,60,4,No,No,57,70,0
90,8.4,2,3,1,88,4.6,Yes,Yes,74,82,0
91,8.1,2,2,2,90,4.5,Yes,Yes,73,82,1
92,7.9,1,3,1,75,3.7,No,Yes,62,65,0
93,6.5,1,1,1,72,4.5,No,No,66,70,0
94,7.6,1,1,0,73,4.3,No,Yes,55,76,1
95,7.8,2,3,0,77,4.8,Yes,Yes,79,87,0
96,7.9,1,1,1,62,4.6,Yes,Yes,87,82,0
97,7.9,2,1,0,83,4,Yes,Yes,63,70,0
98,8.4,2,3,2,90,4.8,Yes,Yes,90,85,1
99,8.6,0,3,2,90,4.8,Yes,Yes,73,78,1
100,7.8,0,1,0,81,3.9,Yes,Yes,79,65,1
101,7.2,1,3,1,75,4.2,Yes,Yes,64,84,0
102,8.4,1,3,2,90,4.5,Yes,Yes,79,86,1
103,8,1,3,1,87,4.6,Yes,Yes,72,83,0
104,7.8,0,1,1,72,4,No,No,61,69,0
105,6.5,1,1,0,63,3.5,No,No,56,64,0
106,7.9,1,2,1,81,4,Yes,Yes,60,71,0
107,6.7,1,1,0,75,4.2,No,No,56,64,0
108,6.9,0,1,0,73,4.1,No,Yes,55,69,1
109,6.5,0,1,1,79,3.9,No,No,55,66,0
110,7.3,1,1,1,71,3.6,No,No,65,64,0
111,7.5,1,1,1,74,3.9,No,No,63,65,0
112,8,2,3,3,76,4.1,Yes,Yes,78,61,0
113,6.6,0,3,0,87,4.5,No,No,80,82,0
114,6.7,1,2,0,73,4.5,No,Yes,55,65,0
115,8.3,1,2,3,78,3.8,Yes,No,67,65,0
116,8.5,1,3,2,90,4.8,Yes,Yes,61,86,1
117,7.4,1,1,0,60,3.4,No,No,58,62,0
118,8.4,0,1,2,88,4.8,Yes,Yes,74,82,1
119,8.2,1,3,0,82,4.8,Yes,Yes,70,73,1
