id,label
40001,3
40002,4
40003,2
40004,2
40005,5
40006,4
40007,2
40008,1
40009,2
40010,5
40011,2
40012,3
40013,4
40014,4
40015,5
40016,4
40017,5
40018,3
40019,2
40020,4
40021,5
40022,2
40023,3
40024,2
40025,3
40026,3
40027,3
40028,5
40029,1
40030,1
40031,2
40032,4
40033,5
40034,2
40035,3
40036,4
40037,4
40038,2
40039,1
40040,2
40041,1
40042,1
40043,3
40044,4
40045,1
40046,2
40047,4
40048,4
40049,2
40050,1
40051,2
40052,1
40053,5
40054,4
40055,1
40056,3
40057,4
40058,3
40059,5
40060,1
40061,4
40062,4
40063,3
40064,5
40065,4
40066,2
40067,2
40068,1
40069,4
40070,3
40071,3
40072,1
40073,3
40074,2
40075,5
40076,3
40077,4
40078,2
40079,1
40080,5
40081,1
40082,3
40083,1
40084,3
40085,4
40086,5
40087,5
40088,1
40089,4
40090,2
40091,5
40092,3
40093,5
40094,2
40095,5
40096,1
40097,5
40098,5
40099,5
40100,4
40101,3
40102,4
40103,5
40104,5
40105,3
40106,3
40107,4
40108,3
40109,3
40110,2
40111,2
40112,1
40113,5
40114,3
40115,3
40116,3
40117,4
40118,1
40119,5
40120,5
40121,5
40122,5
40123,3
40124,2
40125,3
40126,5
40127,4
40128,2
40129,5
40130,1
40131,2
40132,1
40133,4
40134,3
40135,2
40136,5
40137,2
40138,1
40139,3
40140,3
40141,1
40142,2
40143,3
40144,5
40145,4
40146,3
40147,2
40148,2
40149,3
40150,3
40151,3
40152,2
40153,3
40154,4
40155,2
40156,2
40157,5
40158,4
40159,2
40160,3
40161,3
40162,5
40163,5
40164,2
40165,1
40166,4
40167,1
40168,5
40169,2
40170,2
40171,3
40172,5
40173,5
40174,2
40175,4
40176,1
40177,1
40178,3
40179,2
40180,5
40181,2
40182,5
40183,1
40184,2
40185,2
40186,5
40187,2
40188,5
40189,5
40190,1
40191,5
40192,5
40193,4
40194,1
40195,2
40196,3
40197,1
40198,1
40199,4
40200,1
40201,3
40202,5
40203,3
40204,5
40205,3
40206,3
40207,3
40208,2
40209,1
40210,3
40211,3
40212,3
40213,5
40214,2
40215,5
40216,4
40217,4
40218,3
40219,5
40220,1
40221,5
40222,3
40223,1
40224,4
40225,3
40226,1
40227,2
40228,3
40229,3
40230,2
40231,5
40232,3
40233,5
40234,2
40235,3
40236,5
40237,1
40238,4
40239,3
40240,4
40241,5
40242,1
40243,1
40244,2
40245,2
40246,3
40247,2
40248,1
40249,3
40250,1
40251,5
40252,5
40253,4
40254,1
40255,1
40256,5
40257,2
40258,4
40259,2
40260,3
40261,5
40262,5
40263,5
40264,3
40265,1
40266,2
40267,2
40268,3
40269,4
40270,5
40271,2
40272,3
40273,4
40274,5
40275,3
40276,3
40277,5
40278,2
40279,1
40280,1
40281,4
40282,2
40283,3
40284,1
40285,5
40286,4
40287,3
40288,3
40289,3
40290,4
40291,3
40292,2
40293,3
40294,5
40295,3
40296,5
40297,2
40298,1
40299,1
40300,3
40301,3
40302,5
40303,3
40304,2
40305,4
40306,2
40307,5
40308,2
40309,5
40310,4
40311,4
40312,1
40313,2
40314,3
40315,5
40316,4
40317,5
40318,2
40319,3
40320,5
40321,1
40322,3
40323,3
40324,3
40325,4
40326,5
40327,5
40328,5
40329,4
40330,5
40331,1
40332,2
40333,1
40334,5
40335,1
40336,1
40337,3
40338,5
40339,2
40340,2
40341,2
40342,5
40343,3
40344,4
40345,1
40346,4
40347,5
40348,1
40349,1
40350,3
40351,2
40352,2
40353,3
40354,4
40355,2
40356,2
40357,3
40358,3
40359,2
40360,4
40361,4
40362,3
40363,5
40364,1
40365,3
40366,2
40367,4
40368,1
40369,2
40370,2
40371,3
40372,1
40373,3
40374,4
40375,1
40376,2
40377,3
40378,2
40379,2
40380,4
40381,1
40382,2
40383,3
40384,5
40385,4
40386,5
40387,1
40388,3
40389,2
40390,5
40391,2
40392,4
40393,5
40394,2
40395,2
40396,5
40397,1
40398,2
40399,3
40400,2
40401,2
40402,2
40403,2
40404,3
40405,2
40406,3
40407,1
40408,4
40409,4
40410,2
40411,1
40412,5
40413,3
40414,2
40415,5
40416,3
40417,5
40418,1
40419,3
40420,5
40421,1
40422,1
40423,1
40424,3
40425,1
40426,5
40427,4
40428,1
40429,5
40430,3
40431,1
40432,2
40433,5
40434,1
40435,3
40436,1
40437,3
40438,2
40439,5
40440,5
40441,1
40442,1
40443,4
40444,1
40445,4
40446,2
40447,4
40448,4
40449,2
40450,5
40451,5
40452,5
40453,3
40454,3
40455,1
40456,3
40457,3
40458,3
40459,5
40460,2
40461,3
40462,2
40463,2
40464,3
40465,3
40466,2
40467,3
40468,5
40469,1
40470,4
40471,2
40472,5
40473,1
40474,5
40475,2
40476,2
40477,4
40478,5
40479,4
40480,5
40481,2
40482,1
40483,1
40484,2
40485,2
40486,1
40487,5
40488,5
40489,3
40490,1
40491,2
40492,1
40493,2
40494,3
40495,2
40496,3
40497,1
40498,3
40499,4
40500,2
40501,2
40502,1
40503,5
40504,5
40505,3
40506,5
40507,2
40508,5
40509,1
40510,3
40511,3
40512,4
40513,3
40514,2
40515,3
40516,3
40517,2
40518,2
40519,1
40520,1
40521,2
40522,2
40523,2
40524,3
40525,4
40526,1
40527,2
40528,4
40529,4
40530,1
40531,5
40532,3
40533,3
40534,2
40535,3
40536,4
40537,3
40538,2
40539,3
40540,3
40541,2
40542,1
40543,5
40544,5
40545,2
40546,5
40547,2
40548,4
40549,2
40550,2
40551,3
40552,5
40553,2
40554,2
40555,5
