id,label
40001,4
40002,4
40003,2
40004,2
40005,3
40006,1
40007,2
40008,1
40009,2
40010,4
40011,2
40012,4
40013,4
40014,4
40015,4
40016,2
40017,5
40018,4
40019,2
40020,4
40021,5
40022,2
40023,3
40024,4
40025,4
40026,3
40027,4
40028,1
40029,1
40030,5
40031,2
40032,4
40033,4
40034,2
40035,4
40036,2
40037,4
40038,2
40039,1
40040,2
40041,1
40042,1
40043,3
40044,2
40045,2
40046,2
40047,4
40048,3
40049,2
40050,1
40051,4
40052,1
40053,5
40054,2
40055,1
40056,4
40057,4
40058,3
40059,4
40060,1
40061,4
40062,5
40063,3
40064,5
40065,2
40066,1
40067,2
40068,1
40069,4
40070,3
40071,1
40072,1
40073,4
40074,4
40075,2
40076,1
40077,2
40078,4
40079,1
40080,4
40081,1
40082,3
40083,1
40084,4
40085,2
40086,1
40087,5
40088,1
40089,3
40090,2
40091,5
40092,4
40093,1
40094,4
40095,2
40096,1
40097,4
40098,2
40099,4
40100,4
40101,1
40102,5
40103,4
40104,2
40105,3
40106,4
40107,2
40108,4
40109,4
40110,2
40111,3
40112,1
40113,3
40114,4
40115,4
40116,3
40117,4
40118,1
40119,4
40120,5
40121,2
40122,5
40123,3
40124,4
40125,3
40126,1
40127,2
40128,2
40129,5
40130,1
40131,2
40132,1
40133,4
40134,1
40135,4
40136,3
40137,2
40138,4
40139,4
40140,3
40141,1
40142,2
40143,3
40144,5
40145,5
40146,4
40147,2
40148,2
40149,4
40150,4
40151,3
40152,4
40153,1
40154,4
40155,2
40156,1
40157,2
40158,4
40159,2
40160,1
40161,4
40162,4
40163,5
40164,2
40165,1
40166,4
40167,1
40168,5
40169,2
40170,4
40171,3
40172,2
40173,3
40174,2
40175,4
40176,5
40177,1
40178,4
40179,2
40180,2
40181,4
40182,4
40183,1
40184,2
40185,4
40186,1
40187,2
40188,1
40189,1
40190,1
40191,4
40192,5
40193,4
40194,1
40195,2
40196,4
40197,1
40198,1
40199,4
40200,1
40201,5
40202,2
40203,4
40204,5
40205,3
40206,4
40207,3
40208,2
40209,1
40210,3
40211,4
40212,3
40213,2
40214,4
40215,1
40216,4
40217,2
40218,3
40219,4
40220,1
40221,4
40222,4
40223,1
40224,4
40225,5
40226,1
40227,2
40228,4
40229,4
40230,2
40231,4
40232,2
40233,5
40234,2
40235,1
40236,4
40237,1
40238,4
40239,4
40240,4
40241,1
40242,2
40243,4
40244,4
40245,2
40246,4
40247,2
40248,1
40249,4
40250,1
40251,4
40252,5
40253,4
40254,1
40255,1
40256,2
40257,4
40258,2
40259,2
40260,3
40261,4
40262,2
40263,2
40264,4
40265,1
40266,1
40267,5
40268,4
40269,4
40270,5
40271,2
40272,1
40273,5
40274,5
40275,2
40276,4
40277,5
40278,2
40279,5
40280,1
40281,4
40282,2
40283,4
40284,2
40285,2
40286,4
40287,2
40288,4
40289,4
40290,5
40291,4
40292,3
40293,4
40294,4
40295,4
40296,1
40297,2
40298,1
40299,1
