id,label
40001,2
40002,4
40003,4
40004,2
40005,3
40006,4
40007,2
40008,1
40009,3
40010,5
40011,3
40012,3
40013,4
40014,4
40015,1
40016,3
40017,5
40018,3
40019,2
40020,4
40021,5
40022,2
40023,3
40024,2
40025,5
40026,3
40027,3
40028,3
40029,1
40030,1
40031,4
40032,3
40033,4
40034,2
40035,3
40036,4
40037,2
40038,2
40039,1
40040,2
40041,1
40042,1
40043,3
40044,2
40045,1
40046,2
40047,4
40048,4
40049,2
40050,1
40051,2
40052,1
40053,5
40054,4
40055,1
40056,3
40057,4
40058,3
40059,3
40060,5
40061,3
40062,4
40063,3
40064,3
40065,5
40066,3
40067,2
40068,1
40069,4
40070,2
40071,3
40072,1
40073,3
40074,5
40075,5
40076,3
40077,3
40078,2
40079,1
40080,4
40081,1
40082,3
40083,1
40084,3
40085,4
40086,5
40087,5
40088,1
40089,4
40090,2
40091,5
40092,3
40093,3
40094,4
40095,2
40096,1
40097,5
40098,4
40099,5
40100,4
40101,3
40102,5
40103,5
40104,2
40105,3
40106,3
40107,4
40108,3
40109,3
40110,5
40111,3
40112,1
40113,2
40114,3
40115,3
40116,3
40117,4
40118,1
40119,5
40120,5
40121,5
40122,5
40123,3
40124,2
40125,3
40126,3
40127,3
40128,4
40129,5
40130,1
40131,2
40132,1
40133,4
40134,1
40135,2
40136,5
40137,4
40138,3
40139,3
40140,3
40141,1
40142,2
40143,3
40144,5
40145,3
40146,3
40147,2
40148,2
40149,3
40150,3
40151,3
40152,2
40153,3
40154,3
40155,2
40156,2
40157,5
40158,4
40159,5
40160,4
40161,3
40162,5
40163,5
40164,2
40165,1
40166,2
40167,1
40168,2
40169,1
40170,5
40171,4
40172,5
40173,3
40174,2
40175,4
40176,3
40177,1
40178,3
40179,2
40180,5
40181,5
40182,5
40183,1
40184,2
40185,2
40186,3
40187,2
40188,1
40189,3
40190,1
40191,5
40192,4
40193,4
40194,1
40195,2
40196,3
40197,1
40198,1
40199,1
40200,1
40201,5
40202,2
40203,3
40204,5
40205,3
40206,5
40207,3
40208,2
40209,1
40210,3
40211,3
40212,3
40213,3
40214,5
40215,3
40216,4
40217,3
40218,3
40219,3
40220,3
40221,3
40222,3
40223,1
40224,4
40225,3
40226,1
40227,2
40228,3
40229,3
40230,2
40231,5
40232,1
40233,4
40234,2
40235,3
40236,5
40237,1
40238,4
40239,3
40240,4
40241,3
40242,2
40243,3
40244,3
40245,2
40246,3
40247,2
40248,1
40249,3
40250,3
40251,4
40252,5
40253,2
40254,3
40255,1
40256,1
40257,2
40258,4
40259,2
40260,3
40261,5
40262,3
40263,5
40264,3
40265,1
40266,1
40267,5
40268,3
40269,4
40270,1
40271,5
40272,3
40273,4
40274,5
40275,3
40276,3
40277,5
40278,2
40279,1
40280,1
40281,4
40282,2
40283,3
40284,3
40285,2
40286,4
40287,1
40288,3
40289,3
40290,4
40291,2
40292,4
40293,3
40294,5
40295,4
40296,1
40297,1
40298,5
40299,1
40300,3
40301,3
40302,5
40303,3
40304,2
40305,4
40306,4
40307,5
40308,2
40309,5
40310,3
40311,2
40312,1
40313,5
40314,3
40315,4
40316,4
40317,5
40318,4
40319,3
40320,5
40321,1
40322,3
40323,3
40324,3
40325,4
40326,4
40327,2
40328,3
40329,4
40330,5
40331,1
40332,2
40333,1
40334,5
40335,1
40336,1
40337,5
40338,3
40339,5
40340,5
40341,2
40342,3
40343,3
40344,4
40345,1
40346,3
40347,5
40348,1
40349,1
40350,3
40351,2
40352,2
40353,3
40354,4
40355,2
40356,2
40357,3
40358,3
40359,4
40360,5
40361,4
40362,3
40363,1
40364,1
40365,3
40366,3
40367,4
40368,1
40369,2
40370,4
40371,3
40372,1
40373,3
40374,4
40375,1
40376,2
40377,4
40378,2
40379,4
40380,5
40381,1
40382,4
40383,3
40384,3
40385,4
40386,5
40387,1
40388,3
40389,5
40390,5
40391,4
40392,3
40393,5
40394,1
40395,3
40396,2
40397,1
40398,2
40399,3
40400,5
40401,2
40402,5
40403,2
40404,5
40405,3
40406,3
40407,1
40408,3
40409,4
40410,4
40411,1
40412,5
40413,3
40414,3
40415,5
40416,3
40417,3
40418,1
40419,3
40420,5
40421,1
40422,1
40423,1
40424,3
40425,1
40426,5
40427,5
40428,1
40429,5
40430,5
40431,3
40432,4
40433,3
40434,1
40435,3
40436,1
40437,3
40438,3
40439,5
40440,5
40441,2
40442,1
40443,2
40444,1
40445,5
40446,2
40447,4
40448,4
40449,3
40450,5
40451,3
40452,4
40453,3
40454,3
40455,1
40456,3
40457,2
40458,3
40459,1
40460,2
40461,4
40462,2
40463,5
40464,3
40465,3
40466,3
40467,4
40468,2
40469,1
40470,3
40471,4
40472,4
40473,1
40474,1
40475,2
40476,2
40477,4
40478,3
40479,4
40480,4
40481,5
40482,1
40483,1
40484,3
40485,2
40486,1
40487,1
40488,3
40489,3
40490,1
40491,2
40492,1
40493,2
40494,3
40495,4
40496,3
40497,1
40498,3
40499,4
40500,2
40501,5
40502,1
40503,5
40504,3
40505,5
40506,5
40507,2
40508,2
40509,4
40510,3
40511,3
40512,4
40513,5
40514,2
40515,3
40516,4
40517,4
40518,2
40519,1
40520,1
40521,5
40522,2
40523,2
40524,3
40525,2
40526,5
40527,2
40528,4
40529,4
40530,1
40531,2
40532,3
40533,3
40534,2
40535,4
40536,5
40537,4
40538,2
40539,3
40540,3
40541,5
40542,5
40543,1
40544,5
40545,5
40546,5
40547,3
40548,2
40549,2
40550,2
40551,3
40552,3
40553,5
40554,3
40555,4
40556,5
40557,5
40558,2
40559,3
40560,2
40561,3
40562,5
40563,1
40564,4
40565,2
40566,1
40567,4
40568,1
40569,2
40570,2
40571,5
40572,2
40573,2
40574,3
40575,4
40576,3
40577,4
40578,3
40579,2
40580,5
40581,3
40582,3
40583,3
40584,3
40585,3
40586,1
40587,4
40588,2
40589,3
40590,2
40591,1
40592,4
40593,2
40594,1
40595,1
40596,3
40597,1
40598,4
40599,5
40600,1
40601,3
40602,1
40603,5
40604,2
40605,5
40606,1
40607,2
40608,4
40609,2
40610,1
40611,1
40612,3
40613,4
40614,2
40615,1
40616,5
40617,1
40618,3
40619,5
40620,5
40621,5
40622,5
40623,2
40624,4
40625,3
40626,3
40627,5
40628,2
40629,5
40630,2
40631,4
40632,2
40633,5
40634,3
40635,2
40636,2
40637,3
40638,3
40639,2
40640,3
40641,3
40642,5
40643,4
40644,3
40645,5
40646,2
40647,3
40648,4
40649,2
40650,3
40651,3
40652,3
40653,3
40654,2
40655,4
40656,1
40657,1
40658,5
40659,2
40660,2
40661,3
40662,4
40663,3
40664,3
40665,4
40666,3
40667,5
40668,1
40669,4
40670,3
40671,3
40672,1
40673,1
40674,4
40675,2
40676,2
40677,1
40678,3
40679,3
40680,2
40681,3
40682,3
40683,4
40684,4
40685,2
40686,1
40687,1
40688,1
