id,label
40001,4
40002,3
40003,2
40004,2
40005,3
40006,4
40007,5
40008,1
40009,5
40010,5
40011,4
40012,3
40013,4
40014,4
40015,4
40016,3
40017,5
40018,3
40019,2
40020,4
40021,5
40022,2
40023,3
40024,2
40025,3
40026,3
40027,3
40028,1
40029,1
40030,1
40031,2
40032,3
40033,3
40034,2
40035,3
40036,4
40037,4
40038,2
40039,1
40040,2
40041,1
40042,1
40043,3
40044,2
40045,1
40046,2
40047,4
40048,3
40049,2
40050,3
40051,4
40052,1
40053,5
40054,4
40055,3
40056,3
40057,4
40058,3
40059,5
40060,4
40061,4
40062,4
40063,3
40064,5
40065,5
40066,3
40067,2
40068,3
40069,4
40070,3
40071,1
40072,1
40073,3
40074,5
40075,5
40076,3
40077,5
40078,4
40079,1
40080,4
40081,1
40082,3
40083,1
40084,3
40085,5
40086,5
40087,5
40088,1
40089,3
40090,2
40091,5
40092,3
40093,1
40094,4
40095,4
40096,1
40097,5
40098,2
40099,5
40100,4
40101,5
40102,5
40103,5
40104,2
40105,3
40106,3
40107,2
40108,3
40109,3
40110,2
40111,3
40112,1
40113,3
40114,3
40115,3
40116,3
40117,3
40118,1
40119,5
40120,5
40121,5
40122,5
40123,3
40124,3
40125,4
40126,3
40127,2
40128,2
40129,4
40130,4
40131,2
40132,1
40133,4
40134,1
40135,5
40136,5
40137,4
40138,5
40139,3
40140,3
40141,1
40142,2
40143,3
40144,5
40145,3
40146,3
40147,2
40148,2
40149,3
40150,3
40151,5
40152,2
40153,3
40154,3
40155,4
40156,3
40157,5
40158,4
40159,2
40160,5
40161,3
40162,5
40163,5
40164,4
40165,1
40166,4
40167,1
40168,5
40169,2
40170,4
40171,3
40172,5
40173,3
40174,2
40175,4
40176,3
40177,1
40178,3
40179,2
40180,4
40181,4
40182,5
40183,3
40184,4
40185,4
40186,3
40187,2
40188,1
40189,1
40190,4
40191,5
40192,4
40193,4
40194,1
40195,4
40196,5
40197,1
40198,3
40199,3
40200,1
40201,3
40202,2
40203,3
40204,5
40205,3
40206,4
40207,3
40208,2
40209,1
40210,3
40211,4
40212,3
40213,5
40214,4
40215,1
40216,4
40217,4
40218,3
40219,5
40220,5
40221,3
40222,3
40223,1
40224,4
40225,3
40226,1
40227,2
40228,3
40229,3
40230,3
40231,5
40232,4
40233,4
40234,2
40235,1
40236,5
40237,1
40238,4
40239,3
40240,4
40241,1
40242,4
40243,5
40244,5
40245,2
40246,3
40247,2
40248,1
40249,3
40250,5
40251,5
40252,4
40253,4
40254,5
40255,1
40256,3
40257,2
40258,4
40259,2
40260,3
40261,5
40262,5
40263,5
40264,3
40265,3
40266,5
40267,2
40268,3
40269,3
40270,5
40271,5
40272,1
40273,4
40274,5
40275,5
40276,3
40277,5
40278,2
40279,5
40280,1
40281,4
40282,4
40283,4
40284,5
40285,2
40286,4
40287,4
40288,3
40289,3
40290,4
40291,3
40292,3
40293,3
40294,4
40295,4
40296,1
40297,2
40298,1
40299,1
40300,3
40301,3
40302,5
40303,3
40304,4
40305,4
40306,4
40307,3
40308,2
40309,5
40310,3
40311,4
40312,1
40313,5
40314,3
40315,5
40316,4
40317,5
40318,2
40319,4
40320,5
40321,5
40322,3
40323,3
40324,4
40325,3
40326,5
40327,5
40328,3
40329,2
40330,5
40331,1
40332,3
40333,1
40334,5
40335,1
40336,1
40337,3
40338,1
40339,2
40340,5
40341,2
40342,3
40343,3
40344,4
40345,3
40346,5
40347,5
40348,1
40349,1
40350,3
40351,2
40352,4
40353,3
40354,3
40355,2
40356,2
40357,3
40358,3
40359,4
40360,5
40361,4
40362,2
40363,1
40364,1
40365,3
40366,1
40367,4
40368,1
40369,2
40370,4
40371,3
40372,1
40373,3
40374,4
40375,1
40376,2
40377,3
40378,2
40379,4
40380,5
40381,5
40382,2
40383,3
40384,4
40385,4
40386,5
40387,1
40388,3
40389,4
40390,5
40391,2
40392,4
40393,5
40394,2
40395,4
40396,5
40397,1
40398,2
40399,3
40400,5
40401,2
40402,5
40403,4
40404,5
40405,5
40406,3
40407,1
40408,1
40409,4
40410,4
40411,1
40412,5
40413,4
40414,3
40415,5
40416,3
40417,3
40418,1
40419,4
40420,5
40421,1
40422,1
40423,3
40424,3
40425,1
40426,5
40427,5
40428,1
40429,5
40430,5
40431,1
40432,4
40433,5
40434,3
40435,3
40436,1
40437,3
40438,3
40439,5
40440,5
40441,2
40442,1
40443,4
40444,1
40445,5
40446,2
40447,3
40448,4
40449,1
40450,2
40451,3
40452,5
40453,3
40454,5
40455,1
40456,3
40457,2
40458,4
40459,5
40460,2
40461,4
40462,2
40463,5
40464,3
40465,1
40466,2
40467,3
40468,5
40469,1
40470,3
40471,2
40472,5
40473,1
40474,1
40475,2
40476,2
40477,3
40478,4
40479,4
40480,5
40481,2
40482,1
40483,1
40484,3
40485,2
40486,1
40487,3
40488,3
40489,3
40490,1
40491,2
40492,1
40493,4
40494,5
40495,2
40496,3
40497,5
40498,5
40499,4
40500,2
40501,2
40502,1
40503,5
40504,3
40505,5
40506,5
40507,2
40508,5
40509,2
40510,3
40511,4
40512,4
40513,5
40514,2
40515,5
40516,4
40517,4
40518,2
40519,1
40520,1
40521,5
40522,2
40523,2
40524,3
40525,4
40526,1
40527,2
40528,4
40529,4
40530,1
40531,5
40532,3
40533,3
40534,2
40535,3
40536,4
40537,5
40538,2
40539,3
40540,2
40541,2
40542,1
40543,1
40544,5
40545,2
40546,5
40547,4
40548,4
40549,2
40550,4
40551,3
40552,5
40553,2
40554,4
40555,4
40556,5
40557,5
40558,2
40559,1
40560,5
40561,5
40562,2
40563,5
40564,4
40565,2
40566,1
40567,3
40568,3
40569,4
40570,5
40571,5
40572,2
40573,2
40574,3
40575,4
40576,5
40577,3
40578,2
40579,2
40580,5
40581,1
40582,3
40583,3
40584,4
40585,3
40586,1
40587,4
40588,2
40589,4
40590,2
40591,1
40592,4
40593,2
40594,1
40595,1
40596,3
40597,1
40598,2
40599,5
40600,1
40601,5
40602,1
40603,2
40604,5
40605,4
40606,1
40607,2
40608,4
40609,2
40610,1
40611,1
40612,3
40613,5
40614,4
40615,1
40616,4
40617,1
40618,3
40619,4
40620,5
40621,5
40622,2
40623,4
40624,4
40625,3
40626,3
40627,5
40628,4
40629,5
40630,5
40631,4
40632,4
40633,5
40634,3
40635,2
40636,2
40637,3
40638,1
40639,2
40640,3
40641,4
40642,5
40643,5
40644,5
40645,5
40646,4
40647,3
40648,5
40649,4
40650,3
40651,5
40652,3
40653,2
40654,2
40655,4
40656,3
40657,1
40658,3
40659,4
40660,2
40661,3
40662,4
40663,3
40664,4
40665,4
40666,4
40667,5
40668,3
40669,4
40670,3
40671,3
40672,1
40673,1
40674,4
40675,4
40676,2
40677,1
40678,2
40679,3
40680,2
40681,4
40682,3
40683,3
40684,3
40685,2
40686,5
40687,1
40688,1
40689,5
40690,3
40691,1
40692,1
40693,4
40694,2
40695,3
40696,3
40697,2
40698,3
40699,3
40700,2
40701,5
40702,3
40703,1
40704,5
40705,1
40706,3
40707,2
40708,5
40709,4
40710,5
40711,3
40712,2
40713,4
40714,1
40715,5
40716,5
40717,3
40718,4
40719,2
40720,5
40721,4
40722,3
40723,2
40724,5
40725,3
40726,2
40727,5
40728,5
40729,5
40730,2
40731,3
40732,4
40733,2
40734,4
40735,5
40736,3
40737,4
40738,3
40739,5
40740,5
40741,5
40742,3
40743,1
40744,3
40745,1
40746,4
40747,1
40748,4
40749,1
40750,3
40751,1
40752,5
40753,2
40754,2
40755,5
40756,3
40757,1
40758,2
40759,3
40760,4
40761,5
40762,4
40763,4
40764,4
40765,4
40766,5
40767,5
40768,2
40769,5
40770,2
40771,3
40772,5
40773,3
40774,1
40775,3
40776,5
40777,4
40778,3
40779,4
40780,2
40781,5
40782,2
40783,5
40784,2
40785,4
40786,5
40787,5
40788,5
40789,1
40790,4
40791,2
40792,2
40793,5
40794,4
40795,3
40796,3
40797,4
40798,1
40799,5
40800,2
40801,2
40802,5
40803,3
40804,2
40805,2
40806,5
40807,3
40808,2
40809,4
40810,4
40811,1
40812,4
40813,1
40814,4
40815,2
40816,3
40817,3
40818,3
40819,2
40820,3
40821,5
40822,5
40823,5
40824,1
40825,5
40826,5
40827,5
40828,5
40829,1
40830,4
40831,5
40832,5
40833,5
40834,5
40835,2
40836,4
40837,2
40838,5
40839,5
40840,1
40841,2
40842,4
40843,4
40844,4
40845,5
40846,4
40847,3
40848,5
40849,3
40850,3
40851,3
40852,1
40853,1
40854,4
40855,1
40856,2
40857,4
40858,4
40859,1
40860,1
40861,3
40862,5
40863,1
40864,5
40865,3
40866,4
40867,2
40868,1
40869,4
40870,4
40871,4
40872,4
40873,3
40874,5
40875,3
40876,1
40877,5
40878,4
40879,4
40880,4
40881,2
40882,3
40883,4
40884,5
40885,4
40886,1
40887,3
40888,3
40889,5
40890,2
40891,3
40892,1
40893,5
40894,1
40895,1
40896,5
40897,3
40898,3
40899,5
40900,2
40901,1
40902,2
40903,5
40904,1
40905,4
40906,5
40907,1
40908,1
40909,5
40910,5
40911,3
40912,4
40913,1
40914,2
40915,5
40916,3
40917,4
40918,5
40919,4
40920,3
40921,1
40922,3
40923,4
40924,4
40925,4
40926,4
40927,4
40928,5
40929,4
40930,5
40931,1
40932,5
40933,1
40934,4
40935,3
40936,3
40937,3
40938,5
40939,3
40940,1
40941,2
40942,2
40943,3
40944,3
40945,1
40946,2
40947,3
40948,5
40949,5
40950,5
40951,2
40952,4
40953,2
40954,3
40955,4
40956,5
40957,5
40958,2
40959,5
40960,5
40961,5
40962,5
40963,2
40964,2
40965,1
40966,5
40967,3
40968,4
40969,1
40970,5
40971,1
40972,4
40973,5
40974,4
40975,4
40976,4
40977,5
40978,3
40979,2
40980,5
40981,5
40982,1
40983,3
40984,3
40985,2
40986,3
40987,5
40988,3
40989,3
40990,4
40991,5
40992,3
40993,4
40994,5
40995,5
40996,4
40997,3
40998,1
40999,5
41000,3
41001,1
41002,2
41003,1
41004,4
41005,2
41006,5
41007,1
41008,4
41009,2
41010,4
41011,1
41012,2
41013,2
41014,2
41015,5
41016,5
41017,2
41018,4
41019,2
41020,3
41021,4
41022,2
41023,4
41024,4
41025,4
41026,5
41027,4
41028,3
41029,3
41030,1
41031,2
41032,5
41033,2
41034,1
41035,3
41036,2
41037,5
41038,3
41039,5
41040,3
41041,2
41042,2
41043,4
41044,1
41045,1
41046,5
41047,3
41048,4
41049,3
41050,3
41051,5
41052,5
41053,2
41054,1
41055,2
41056,1
41057,5
41058,4
41059,1
41060,5
41061,1
41062,5
41063,5
41064,1
41065,1
41066,3
41067,4
41068,4
41069,4
41070,4
41071,3
41072,3
41073,3
41074,4
41075,5
41076,1
41077,4
41078,5
41079,2
41080,1
41081,5
41082,4
41083,3
41084,2
41085,4
41086,3
41087,5
41088,3
41089,2
41090,3
41091,1
41092,1
41093,1
41094,4
41095,5
41096,4
41097,4
41098,5
41099,4
41100,3
41101,3
41102,5
41103,1
41104,3
41105,5
41106,1
41107,1
41108,3
41109,2
41110,5
41111,3
41112,3
41113,1
41114,1
41115,4
41116,5
41117,2
41118,4
41119,2
41120,4
41121,2
41122,3
41123,2
41124,1
41125,3
41126,3
41127,1
41128,3
41129,2
41130,3
41131,3
41132,1
41133,1
41134,1
41135,4
41136,3
41137,1
41138,1
41139,3
41140,2
41141,3
41142,1
41143,5
41144,5
41145,3
41146,5
41147,4
41148,4
41149,5
41150,1
41151,3
41152,1
41153,5
41154,5
41155,3
41156,1
41157,1
41158,3
41159,1
41160,2
41161,3
41162,1
41163,1
41164,4
41165,3
41166,5
41167,3
41168,4
41169,2
41170,2
41171,5
41172,5
41173,1
41174,3
41175,3
41176,1
41177,4
41178,5
41179,5
41180,5
41181,2
41182,5
41183,2
41184,4
41185,4
41186,4
41187,4
41188,3
41189,3
41190,5
41191,3
41192,3
41193,3
41194,5
41195,2
41196,4
41197,2
41198,2
41199,5
41200,3
41201,1
41202,4
41203,2
41204,2
41205,3
41206,3
41207,3
41208,4
41209,1
41210,1
41211,3
41212,5
41213,5
41214,2
41215,3
41216,4
41217,1
41218,4
41219,2
41220,4
41221,5
41222,2
41223,5
41224,5
41225,4
41226,5
41227,5
41228,3
41229,5
41230,1
41231,3
41232,1
41233,3
41234,3
41235,2
41236,4
41237,3
41238,4
41239,2
41240,4
41241,2
41242,5
41243,3
41244,1
41245,3
41246,4
41247,5
41248,5
41249,4
41250,1
41251,5
41252,5
41253,2
41254,2
41255,5
41256,3
41257,5
41258,3
41259,5
41260,5
41261,4
41262,2
41263,3
41264,5
41265,2
41266,1
41267,1
41268,3
41269,3
41270,3
41271,2
41272,1
41273,1
41274,5
41275,4
41276,3
41277,3
41278,3
41279,3
41280,3
41281,3
41282,3
41283,3
41284,3
41285,1
41286,3
41287,5
41288,4
41289,5
41290,5
41291,1
41292,1
41293,5
41294,2
41295,3
41296,5
41297,3
41298,1
41299,3
41300,2
41301,5
41302,5
41303,5
41304,3
41305,1
41306,3
41307,3
41308,1
41309,5
41310,3
41311,4
41312,5
41313,4
41314,4
41315,2
41316,2
41317,4
41318,4
41319,4
41320,2
41321,1
41322,2
41323,5
41324,3
41325,1
41326,3
41327,2
41328,5
41329,4
41330,4
41331,3
41332,2
41333,4
41334,2
41335,4
41336,5
41337,2
41338,5
41339,2
41340,3
41341,5
41342,3
41343,1
41344,3
41345,3
41346,3
41347,3
41348,5
41349,3
41350,5
41351,5
41352,2
41353,3
41354,5
41355,3
41356,3
41357,4
41358,3
41359,5
41360,3
41361,3
41362,4
41363,3
41364,1
41365,4
41366,1
41367,5
41368,5
41369,1
41370,1
41371,5
41372,4
41373,5
41374,4
41375,1
41376,4
41377,2
41378,3
41379,4
41380,5
41381,3
41382,5
41383,4
41384,3
41385,4
41386,4
41387,3
41388,4
41389,5
41390,5
41391,3
41392,1
41393,2
41394,2
41395,1
41396,2
41397,4
41398,4
41399,1
41400,5
41401,3
41402,2
41403,3
41404,2
41405,1
41406,2
41407,4
41408,5
41409,4
41410,5
41411,5
41412,2
41413,3
41414,3
41415,3
41416,2
41417,2
41418,5
41419,1
41420,2
41421,4
41422,1
41423,3
41424,3
41425,5
41426,5
41427,1
41428,2
41429,1
41430,3
41431,2
41432,5
41433,1
41434,3
41435,1
41436,4
41437,5
41438,4
41439,4
41440,1
41441,1
41442,4
41443,5
41444,5
41445,5
41446,2
41447,4
41448,2
41449,4
41450,2
41451,2
41452,3
41453,4
41454,4
41455,5
41456,5
41457,1
41458,1
41459,2
41460,4
41461,1
41462,2
41463,3
41464,1
41465,5
41466,5
41467,3
41468,3
41469,4
41470,5
41471,5
41472,1
41473,4
41474,3
41475,4
41476,4
41477,1
41478,4
41479,1
41480,5
41481,2
41482,1
41483,4
41484,3
41485,1
41486,2
41487,5
41488,4
41489,1
41490,1
41491,3
41492,3
41493,3
41494,5
41495,4
41496,3
41497,2
41498,4
41499,3
41500,5
41501,5
41502,5
41503,3
41504,4
41505,4
41506,4
41507,2
41508,5
41509,4
41510,1
41511,4
41512,5
41513,1
41514,2
41515,3
41516,5
41517,1
41518,5
41519,1
41520,3
41521,2
41522,2
41523,3
41524,1
41525,4
41526,4
41527,4
41528,5
41529,3
41530,3
41531,3
41532,3
41533,3
41534,4
41535,5
41536,4
41537,1
41538,5
41539,1
41540,2
41541,2
41542,2
41543,5
41544,4
41545,3
41546,2
41547,2
41548,2
41549,3
41550,4
41551,5
41552,2
41553,1
