id,label
1000000,0
1000001,1
1000002,0
1000003,0
1000004,1
1000005,1
1000006,0
1000007,1
1000008,1
1000009,0
1000010,0
1000011,0
1000012,1
1000013,0
1000014,0
1000015,1
1000016,0
1000017,0
1000018,1
1000019,1
1000020,0
1000021,1
1000022,0
1000023,1
1000024,1
1000025,0
1000026,0
1000027,0
1000028,1
1000029,1
1000030,1
1000031,1
1000032,0
1000033,0
1000034,0
1000035,0
1000036,0
1000037,1
1000038,1
1000039,0
1000040,1
1000041,0
1000042,0
1000043,0
1000044,1
1000045,0
1000046,1
1000047,0
1000048,1
1000049,0
1000050,1
1000051,0
1000052,1
1000053,1
1000054,0
1000055,1
1000056,1
1000057,1
1000058,1
1000059,1
1000060,1
1000061,0
1000062,0
1000063,1
1000064,0
1000065,1
1000066,1
1000067,0
1000068,0
1000069,0
1000070,0
1000071,0
1000072,0
1000073,0
1000074,1
1000075,0
1000076,1
1000077,0
1000078,1
1000079,1
1000080,0
1000081,1
1000082,0
1000083,0
1000084,1
1000085,0
1000086,0
1000087,0
1000088,0
1000089,1
1000090,0
1000091,0
1000092,0
1000093,0
1000094,1
1000095,0
1000096,1
1000097,0
1000098,0
1000099,1
1000100,0
1000101,1
1000102,1
1000103,0
1000104,0
1000105,1
1000106,0
1000107,1
1000108,0
1000109,0
1000110,1
1000111,0
1000112,1
1000113,0
1000114,1
1000115,1
1000116,1
1000117,1
1000118,0
1000119,1
1000120,0
1000121,0
1000122,0
1000123,1
1000124,0
1000125,0
1000126,0
1000127,1
1000128,0
1000129,1
1000130,1
1000131,0
1000132,0
1000133,0
1000134,0
1000135,0
1000136,1
1000137,1
1000138,0
1000139,0
1000140,1
1000141,0
1000142,1
1000143,0
1000144,1
1000145,0
1000146,1
1000147,1
1000148,0
1000149,0
1000150,1
1000151,0
1000152,1
1000153,0
1000154,0
1000155,1
1000156,0
1000157,0
1000158,0
1000159,0
1000160,1
1000161,1
1000162,0
1000163,1
1000164,0
1000165,0
1000166,1
1000167,0
1000168,0
1000169,1
1000170,0
1000171,0
1000172,0
1000173,0
1000174,1
1000175,0
1000176,1
1000177,0
1000178,0
1000179,1
1000180,0
1000181,0
1000182,1
1000183,0
1000184,1
1000185,0
1000186,0
1000187,0
1000188,1
1000189,0
1000190,1
1000191,0
1000192,1
1000193,1
1000194,0
1000195,1
1000196,0
1000197,0
1000198,1
1000199,0
1000200,1
1000201,0
1000202,1
1000203,0
1000204,1
1000205,1
1000206,0
1000207,0
1000208,1
1000209,0
1000210,0
1000211,0
1000212,1
1000213,0
1000214,1
1000215,0
1000216,0
1000217,1
1000218,1
1000219,0
1000220,0
1000221,0
1000222,0
1000223,1
1000224,0
1000225,1
1000226,0
1000227,1
1000228,0
1000229,0
1000230,1
1000231,0
1000232,1
1000233,1
1000234,1
1000235,0
1000236,0
1000237,0
1000238,0
1000239,1
1000240,0
1000241,0
1000242,0
1000243,0
1000244,1
1000245,1
1000246,1
1000247,0
1000248,1
1000249,0
1000250,1
1000251,0
1000252,1
1000253,0
1000254,0
1000255,0
1000256,1
1000257,0
1000258,1
1000259,0
1000260,0
1000261,0
1000262,1
1000263,1
1000264,0
1000265,0
1000266,1
1000267,1
1000268,1
1000269,0
1000270,0
1000271,1
1000272,0
1000273,0
1000274,1
1000275,0
1000276,1
1000277,0
1000278,0
1000279,0
1000280,0
1000281,0
1000282,0
1000283,1
1000284,0
1000285,1
1000286,1
1000287,0
1000288,0
1000289,1
1000290,0
1000291,0
1000292,0
1000293,1
1000294,1
1000295,1
1000296,0
1000297,1
1000298,1
1000299,1
1000300,0
1000301,0
1000302,1
1000303,0
1000304,1
1000305,1
1000306,1
1000307,0
1000308,1
1000309,0
1000310,1
1000311,0
1000312,0
1000313,1
1000314,0
1000315,0
1000316,0
1000317,1
1000318,1
1000319,0
1000320,0
1000321,0
1000322,1
1000323,0
1000324,0
1000325,1
1000326,1
1000327,0
1000328,0
1000329,1
1000330,0
1000331,0
1000332,0
1000333,1
1000334,1
1000335,0
1000336,1
1000337,0
1000338,1
1000339,1
1000340,1
1000341,1
1000342,0
1000343,0
1000344,1
1000345,0
1000346,1
1000347,0
1000348,0
1000349,0
1000350,1
1000351,1
1000352,0
1000353,0
1000354,0
1000355,1
1000356,0
1000357,0
1000358,1
1000359,1
1000360,0
1000361,1
1000362,0
1000363,0
1000364,1
1000365,0
1000366,0
1000367,0
1000368,0
1000369,1
1000370,1
1000371,0
1000372,0
1000373,1
1000374,0
1000375,0
1000376,1
1000377,0
1000378,1
1000379,0
1000380,1
1000381,1
1000382,0
1000383,0
1000384,1
1000385,1
1000386,0
1000387,1
1000388,0
1000389,0
1000390,0
1000391,0
1000392,0
1000393,1
1000394,0
1000395,1
1000396,1
1000397,1
1000398,0
1000399,1
1000400,1
1000401,1
1000402,0
1000403,1
1000404,0
1000405,1
1000406,1
1000407,0
1000408,0
1000409,1
1000410,1
1000411,1
1000412,0
1000413,1
1000414,0
1000415,1
1000416,0
1000417,1
1000418,0
1000419,1
1000420,0
1000421,1
1000422,0
1000423,1
1000424,0
1000425,0
1000426,1
1000427,1
1000428,1
1000429,0
1000430,1
1000431,1
1000432,0
1000433,0
1000434,1
1000435,1
1000436,0
1000437,1
1000438,0
1000439,0
1000440,0
1000441,1
1000442,0
1000443,0
1000444,1
1000445,0
1000446,0
1000447,0
1000448,0
1000449,1
1000450,0
1000451,1
1000452,1
1000453,1
1000454,1
1000455,1
1000456,0
1000457,0
1000458,0
1000459,1
1000460,1
1000461,0
1000462,1
1000463,1
1000464,1
1000465,1
1000466,1
1000467,0
1000468,1
1000469,1
1000470,1
1000471,0
1000472,0
1000473,0
1000474,0
1000475,1
1000476,0
1000477,0
1000478,0
1000479,1
1000480,1
1000481,1
1000482,1
1000483,1
1000484,1
1000485,0
1000486,0
1000487,0
1000488,1
1000489,0
1000490,0
1000491,0
1000492,1
1000493,0
1000494,1
1000495,1
1000496,1
1000497,0
1000498,0
1000499,0
1000500,0
1000501,0
1000502,0
1000503,1
1000504,0
1000505,1
1000506,0
1000507,0
1000508,0
1000509,0
1000510,1
1000511,0
1000512,1
1000513,1
1000514,1
1000515,1
1000516,0
1000517,1
1000518,0
1000519,1
1000520,0
1000521,0
1000522,1
1000523,0
1000524,0
1000525,0
1000526,1
1000527,1
1000528,0
1000529,0
1000530,0
1000531,1
1000532,0
1000533,1
1000534,0
1000535,0
1000536,1
